PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
smc_64_128 cn613-13-l 0/0/20/20 120832
smc_64_128 cn613-14-l 0/0/20/20 120832
smc_64_128 cn613-14-r 0/0/20/20 120832
smc_64_128 cn613-15-l 0/0/20/20 120832
smc_64_128 cn613-16-l 0/0/20/20 120832
smc_64_128 cn613-17-r 0/0/20/20 120832
smc_64_128 cn613-18-r 0/0/20/20 120832
smc_64_128 cn613-19-l 0/0/20/20 120832
smc_64_128 cn613-19-r 0/0/20/20 120832
smc_64_128 cn613-20-l 0/0/20/20 120832
smc_64_128 cn613-20-r 0/0/20/20 120832
smc_64_128 cn613-26-r 0/0/20/20 120832
smc_64_128 cn613-27-r 0/0/20/20 120832
smc_64_128 cn613-06-l 0/20/0/20 120832
smc_64_128 cn613-09-r 0/20/0/20 120832
smc_64_128 cn613-10-r 0/20/0/20 120832
smc_64_128 cn613-17-l 0/20/0/20 120832
smc_64_128 cn613-18-l 0/20/0/20 120832
smc_64_128 cn613-24-l 0/20/0/20 120832
smc_64_128 cn613-24-r 0/20/0/20 120832
smc_64_128 cn613-25-l 0/20/0/20 120832
smc_64_128 cn613-25-r 0/20/0/20 120832
smc_64_128 cn613-26-l 0/20/0/20 251904
smc_64_128 cn613-27-l 0/20/0/20 120832
smc_64_128 cn613-28-l 0/20/0/20 120832
smc_64_128 cn613-28-r 0/20/0/20 120832
smc_64_128 cn613-29-l 0/20/0/20 120832
smc_64_128 cn613-29-r 0/20/0/20 120832
smc_64_128 cn613-30-l 0/20/0/20 120832
smc_64_128 cn613-30-r 0/20/0/20 120832
smc_64_128 cn613-31-l 0/20/0/20 120832
smc_64_128 cn613-31-r 0/20/0/20 120832
smc_64_128 cn613-32-l 0/20/0/20 120832
smc_64_128 cn613-32-r 0/20/0/20 120832
smc_64_128 cn613-33-l 0/20/0/20 120832
smc_64_128 cn613-33-r 0/20/0/20 120832
smc_64_128 cn613-34-l 0/20/0/20 120832
smc_64_128 cn613-34-r 0/20/0/20 120832
smc_64_128 cn613-36-l 0/20/0/20 120832
smc_64_128 cn613-36-r 0/20/0/20 120832
smc_64_128 cn613-37-l 0/20/0/20 120832
